"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","영화상영업","03_13_03_P","5090000","CDFF5211042011000001","20111109","","02","휴업","02","휴업","","","","","634-8855","","","경상북도 영주시 영주동 377-18 (지상3층)","경상북도 영주시 구성로350번길 24 (영주동)","750907","예당시네마","20201209100013","U","2020-12-11 02:40:00.0","","344845.783386769","370384.93370984","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20111109","",
"2","영화상영업","03_13_03_P","4180000","CDFF5211041999000003","19990827","","02","휴업","02","휴업","","","99991231","","","","","강원도 춘천시 조양동 25번지","강원도 춘천시 시청길 12 (조양동)","200941","피카디리","20111103110150","I","2018-08-31 23:59:59.0","","264058.010369038","486641.245936737","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19990827","",
"3","영화상영업","03_13_03_P","4180000","CDFF5211041999000004","19990827","","02","휴업","02","휴업","","","99991231","","","","","강원도 춘천시 조양동 25-3번지","강원도 춘천시 시청길10번길 7 (조양동)","200941","아카데미","20111103110225","I","2018-08-31 23:59:59.0","","264066.594581182","486613.502635083","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19990827","",
"4","영화상영업","03_13_03_P","4180000","CDFF5211042004000001","20040707","","02","휴업","02","휴업","","","99991231","","","","200911","강원도 춘천시 남산면 강촌리 224-7번지","","","강촌자동차극장","20100503173229","I","2018-08-31 23:59:59.0","","255767.22422707","479344.068798083","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20040707","",
"5","영화상영업","03_13_03_P","4180000","CDFF5211042005000001","20050530","","02","휴업","02","휴업","","","99991231","","","","","강원도 춘천시 삼천동 200번지","강원도 춘천시 스포츠타운길 383-6 (삼천동)","200200","씨네자동차극장","20111103110412","I","2018-08-31 23:59:59.0","","261638.06885953","485738.768274014","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20050530","",
"6","영화상영업","03_13_03_P","4180000","CDFF5211042008000001","20080115","","02","휴업","02","휴업","","","99991231","","","","200831","강원도 춘천시 서면 현암리 367번지","강원도 춘천시 서면 박사로 854","","(재)강원정보문화진흥원","20100504113450","I","2018-08-31 23:59:59.0","","260861.02918200000","488431.74620900000","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20080115","",
"7","영화상영업","03_13_03_P","4900000","CDFF5211042018000001","20180126","","02","휴업","02","휴업","","20200701","","","061-373-7053","","","전라남도 화순군 화순읍 광덕리 88 화순군민회관 2층","전라남도 화순군 화순읍 진각로 85, 화순군민회관 2층","58122","화순 작은영화관 사회적협동조합","20210408112551","U","2021-04-10 02:40:00.0","","198581.32921","173255.170805","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20180126","",
"8","영화상영업","03_13_03_P","5020000","CDFF5211042004000001","20040408","","02","휴업","02","휴업","","20111222","20211231","","250-1112","","","경상북도 포항시 북구 대흥동 563-3번지","경상북도 포항시 북구 중앙상가길 16  (대흥동)","","(주)포항시네마","20111219141757","I","2018-08-31 23:59:59.0","","412902.658515119","284383.44638118","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20040408","",
"9","영화상영업","03_13_03_P","5310000","CDFF5211042006000001","20060127","","02","휴업","02","휴업","","","","","867-4040","","","경상남도 진주시 판문동 477번지","경상남도 진주시 판문오동길 99-7 (판문동)","","진양호자동차극장","20140616174256","I","2018-08-31 23:59:59.0","","294537.826627313","186759.697393299","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20060127","",
"10","영화상영업","03_13_03_P","5310000","CDFF5211042010000001","20100825","","02","휴업","02","휴업","","","","","055-748-5007","","","경상남도 진주시 판문동 477번지","경상남도 진주시 판문오동길 99-7 (판문동)","","진주자동차극장","20140616174234","I","2018-08-31 23:59:59.0","","294537.826627313","186759.697393299","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20100825","",
"11","영화상영업","03_13_03_P","3740000","CDFF5211042007000001","20071004","","02","휴업","02","휴업","","","99991231","","","","442120","경기도 수원시 팔달구 중동 100 베레슈트 9층","경기도 수원시 팔달구 정조로 735  (중동,베레슈트 9층)","","정인시네마","20100713092120","I","2020-08-05 00:23:26.0","","201357.35126799","419073.277374606","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20071004","",
"12","영화상영업","03_13_03_P","3860000","CDFF5211042002000001","20021125","","02","휴업","02","휴업","","","99991231","","","","420031","경기도 부천시 상동 461번지 뉴코아중동백화점 9층","","","(주)씨네올넷","20101019103036","I","2018-08-31 23:59:59.0","","178293.171578447","442988.573961638","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20021125","",
"13","영화상영업","03_13_03_P","5070000","CDFF5211042009000001","20091118","","02","휴업","02","휴업","","","99991231","","","","","경상북도 안동시 서부동 182-2번지","경상북도 안동시 번영길 27 (서부동)","760090","(합)안동극장","20141024155955","I","2018-08-31 23:59:59.0","","354685.857620806","341885.761485552","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20091118","",
"14","영화상영업","03_13_03_P","5070000","CDFF5211042010000002","20100104","","02","휴업","02","휴업","","","99991231","","","","760220","경상북도 안동시 광석동 250번지","경상북도 안동시 경동로 841 (용상동)","760902","대안극장","20120119175944","I","2018-08-31 23:59:59.0","","354141.440430288","341864.800438278","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20100104","",
